step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00010099,8.4187,8.4205,1.2942
50,6.3,409600,0.00500050,3.7608,3.7536,0.5939
100,12.4,819200,0.01000000,3.2757,3.3648,0.3919
150,18.5,1228800,0.00993163,3.0616,3.0640,0.2579
200,24.6,1638400,0.00972862,2.8281,2.8967,0.1838
250,30.8,2048000,0.00939711,2.7960,2.7846,0.1824
300,36.9,2457600,0.00894720,2.6393,2.6919,0.1653
350,43.0,2867200,0.00839254,2.6481,2.6014,0.1417
400,49.1,3276800,0.00775000,2.4855,2.5409,0.1362
450,55.2,3686400,0.00703909,2.3868,2.4728,0.1413
500,61.4,4096000,0.00628142,2.3032,2.4051,0.1269
550,67.5,4505600,0.00550000,2.3929,2.3446,0.1328
600,73.6,4915200,0.00471858,2.1785,2.2935,0.1275
650,79.7,5324800,0.00396091,2.2158,2.2493,0.1308
700,85.8,5734400,0.00325000,2.1589,2.2015,0.1322
750,92.0,6144000,0.00260746,2.1412,2.1596,0.1344
800,98.1,6553600,0.00205280,2.1266,2.1189,0.1287
850,104.2,6963200,0.00160289,2.1460,2.0970,0.1321
900,110.3,7372800,0.00127138,1.9821,2.0712,0.1359
950,116.4,7782400,0.00106837,2.1150,2.0502,0.1381
1000,122.5,8192000,0.00100000,2.0203,2.0339,0.1336
