step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00003030,8.4187,8.4215,1.2942
50,6.3,409600,0.00150015,3.9409,3.9268,0.5500
100,12.4,819200,0.00300000,3.2208,3.2926,0.5639
150,18.5,1228800,0.00297949,2.9807,2.9707,0.3982
200,24.6,1638400,0.00291859,2.7284,2.8002,0.3715
250,30.8,2048000,0.00281913,2.6924,2.6859,0.3686
300,36.9,2457600,0.00268416,2.5531,2.6121,0.3310
350,43.0,2867200,0.00251776,2.5519,2.5316,0.3445
400,49.1,3276800,0.00232500,2.4131,2.4585,0.3391
450,55.2,3686400,0.00211173,2.3008,2.3991,0.3244
500,61.3,4096000,0.00188443,2.2268,2.3347,0.2996
550,67.5,4505600,0.00165000,2.3179,2.2706,0.3154
600,73.6,4915200,0.00141557,2.1141,2.2236,0.2894
650,79.7,5324800,0.00118827,2.1513,2.1774,0.2887
700,85.8,5734400,0.00097500,2.0895,2.1302,0.2956
750,91.9,6144000,0.00078224,2.0886,2.0973,0.2925
800,98.0,6553600,0.00061584,2.0839,2.0619,0.2985
850,104.1,6963200,0.00048087,2.0888,2.0435,0.2876
900,110.3,7372800,0.00038141,1.9420,2.0179,0.2875
950,116.4,7782400,0.00032051,2.0607,2.0011,0.2883
1000,122.5,8192000,0.00030000,1.9831,1.9868,0.2882
