step,grad_norm,step_time
1,1.294182,0.136412
2,1.302694,0.116297
3,1.293795,0.115554
4,1.216009,0.115486
5,1.306550,0.115666
6,1.309242,0.121294
7,1.293989,0.119789
8,1.272405,0.119866
9,1.307181,0.118382
10,1.262364,0.117418
11,1.248970,0.117213
12,1.300956,0.117335
13,1.332380,0.117617
14,1.284197,0.118885
15,1.364640,0.119439
16,1.448900,0.119827
17,1.408627,0.118392
18,1.435238,0.118110
19,1.604504,0.117782
20,1.572960,0.117391
21,1.677973,0.116950
22,1.750397,0.117745
23,1.749433,0.118868
24,1.755137,0.119971
25,1.846669,0.118600
26,1.845228,0.118200
27,1.961602,0.118513
28,1.958404,0.118501
29,1.922981,0.117939
30,2.019346,0.117161
31,1.867877,0.117582
32,1.863928,0.119575
33,1.868017,0.119105
34,1.828979,0.117999
35,1.742181,0.118103
36,1.680850,0.117500
37,1.676250,0.118308
38,1.642395,0.118223
39,1.605865,0.117579
40,1.566140,0.118272
41,1.626844,0.118614
42,1.584537,0.118331
43,1.557740,0.118320
44,1.511058,0.117667
45,1.450835,0.118376
46,1.339847,0.118305
47,1.273118,0.118027
48,1.249271,0.118871
49,1.202025,0.118304
50,1.156258,0.118664
51,1.118630,0.118051
52,1.089713,0.117521
53,1.074501,0.118409
54,1.059606,0.118419
55,0.878910,0.119302
56,0.849572,0.118412
57,0.830949,0.118656
58,0.747864,0.118178
59,0.675623,0.118158
60,0.681947,0.118096
61,0.643840,0.118000
62,0.566941,0.118354
63,0.557134,0.118444
64,0.551006,0.118300
65,0.529998,0.117982
66,0.501710,0.118775
67,0.574872,0.119075
68,0.517176,0.118116
69,0.514811,0.118135
70,0.487141,0.117215
71,0.454834,0.118657
72,0.542031,0.118187
73,0.425130,0.118026
74,0.444018,0.118836
75,0.457399,0.118010
76,0.429390,0.118523
77,0.441611,0.118422
78,0.501828,0.118090
79,0.445474,0.118025
80,0.508949,0.117790
81,0.498621,0.118157
82,0.520606,0.118611
83,0.453728,0.118087
84,0.494103,0.118289
85,0.502998,0.118572
86,0.444597,0.118070
87,0.521968,0.118845
88,0.440869,0.118091
89,0.535993,0.118284
90,0.480235,0.118518
91,0.507920,0.117790
92,0.476759,0.118572
93,0.457376,0.118282
94,0.538708,0.118215
95,0.504137,0.118716
96,0.484086,0.117827
97,0.495056,0.118026
98,0.593382,0.118318
99,0.432384,0.118429
100,0.498690,0.118308
101,0.442847,0.119700
102,0.477339,0.118248
103,0.621584,0.117860
104,0.412664,0.117660
105,0.572351,0.118286
106,0.514450,0.118294
107,0.596890,0.118060
108,0.455543,0.118448
109,0.495445,0.118354
110,0.462488,0.119035
111,0.482301,0.118761
112,0.526049,0.117498
113,0.454332,0.118061
114,0.682982,0.117538
115,0.432917,0.118053
116,0.654573,0.118366
117,0.446920,0.118294
118,0.531958,0.119158
119,0.514141,0.118866
120,0.497774,0.118367
121,0.571956,0.118510
122,0.456328,0.118046
123,0.495970,0.117950
124,0.440249,0.118374
125,0.455422,0.118142
126,0.540318,0.118495
127,0.433163,0.118669
128,0.499896,0.118447
129,0.467756,0.118664
130,0.473877,0.118222
131,0.567460,0.118310
132,0.500089,0.117591
133,0.459521,0.118148
134,0.448518,0.118733
135,0.476917,0.118318
136,0.580619,0.118381
137,0.447887,0.118689
138,0.521019,0.118930
139,0.491605,0.118339
140,0.464011,0.117995
141,0.550081,0.117213
142,0.476624,0.118916
143,0.452184,0.118687
144,0.509854,0.118171
145,0.492605,0.118490
146,0.488964,0.117732
147,0.480928,0.118525
148,0.442606,0.118470
149,0.503056,0.117930
150,0.479742,0.118426
151,0.470727,0.119116
152,0.472700,0.117882
153,0.527191,0.117778
154,0.494159,0.118489
155,0.470538,0.118698
156,0.451488,0.118148
157,0.470924,0.118672
158,0.499708,0.118014
159,0.445603,0.118251
160,0.525731,0.119040
161,0.489306,0.117884
162,0.530307,0.118839
163,0.517885,0.118577
164,0.467853,0.118004
165,0.618495,0.119255
166,0.480903,0.117896
167,0.488310,0.118292
168,0.458020,0.118452
169,0.437184,0.117688
170,0.469636,0.117770
171,0.449823,0.118125
172,0.436564,0.118567
173,0.448161,0.118575
174,0.442570,0.118462
175,0.501021,0.118143
176,0.484796,0.118352
177,0.522561,0.118548
178,0.515504,0.117419
179,0.543306,0.118190
180,0.448120,0.117822
181,0.556846,0.118524
182,0.487998,0.119068
183,0.558982,0.118227
184,0.522279,0.118370
185,0.477478,0.118174
186,0.492648,0.118519
187,0.487907,0.117855
188,0.451161,0.117886
189,0.571328,0.118224
190,0.517956,0.118260
191,0.492515,0.118426
192,0.483132,0.118591
193,0.513099,0.117992
194,0.454173,0.118322
195,0.503867,0.118399
196,0.520020,0.117967
197,0.582708,0.118633
198,0.500455,0.118180
199,0.534782,0.118474
200,0.552944,0.118615
201,0.467155,0.119206
202,0.614179,0.118345
203,0.547713,0.117951
204,0.596387,0.118787
205,0.560336,0.118006
206,0.596717,0.118126
207,0.591111,0.118196
208,0.517745,0.118012
