step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00001010,8.4187,8.4219,1.2942
50,6.3,409600,0.00050005,4.4880,4.4773,0.4464
100,12.4,819200,0.00100000,3.4700,3.5739,0.4308
150,18.5,1228800,0.00099316,3.1477,3.1382,0.4540
200,24.6,1638400,0.00097286,2.8485,2.8966,0.4506
250,30.7,2048000,0.00093971,2.7680,2.7476,0.4974
300,36.9,2457600,0.00089472,2.6118,2.6555,0.4477
350,43.0,2867200,0.00083925,2.6022,2.5687,0.4637
400,49.1,3276800,0.00077500,2.4511,2.5023,0.4436
450,55.2,3686400,0.00070391,2.3681,2.4380,0.4947
500,61.3,4096000,0.00062814,2.2830,2.3893,0.4312
550,67.4,4505600,0.00055000,2.3709,2.3350,0.4513
600,73.5,4915200,0.00047186,2.1754,2.2902,0.4324
650,79.6,5324800,0.00039609,2.2303,2.2544,0.4377
700,85.7,5734400,0.00032500,2.1867,2.2170,0.4419
750,91.9,6144000,0.00026075,2.1739,2.1858,0.4445
800,98.0,6553600,0.00020528,2.1766,2.1603,0.4446
850,104.1,6963200,0.00016029,2.2012,2.1452,0.4408
900,110.2,7372800,0.00012714,2.0428,2.1263,0.4393
950,116.3,7782400,0.00010684,2.1745,2.1147,0.4395
1000,122.4,8192000,0.00010000,2.0937,2.1039,0.4458
