vocab_size,tokens,bytes_per_token,chars_per_token,embed_lm_head_params
1000,700371128,3.1303732940287623,3.129076989878429,1024000
2000,602917908,3.6363542132505375,3.6348483797233637,2048000
4000,557120988,3.9352728082827135,3.9336431909831404,4096000
8000,539843984,4.061216092018171,4.059534320938177,8192000
16000,537233312,4.0809514712296915,4.0792615276247055,16384000
