step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00000303,8.4187,8.4220,1.2942
50,6.3,409600,0.00015002,5.6953,5.6461,1.1563
100,12.4,819200,0.00030000,4.0831,4.1758,0.4987
150,18.5,1228800,0.00029795,3.6577,3.6771,0.4797
200,24.6,1638400,0.00029186,3.3023,3.3876,0.5529
250,30.7,2048000,0.00028191,3.2140,3.1975,0.5031
300,36.8,2457600,0.00026842,3.0094,3.0643,0.6165
350,42.9,2867200,0.00025178,3.0061,2.9549,0.5192
400,49.0,3276800,0.00023250,2.8439,2.8723,0.5865
450,55.1,3686400,0.00021117,2.7508,2.8014,0.5368
500,61.2,4096000,0.00018844,2.6422,2.7460,0.5138
550,67.3,4505600,0.00016500,2.7504,2.6993,0.5431
600,73.4,4915200,0.00014156,2.5334,2.6589,0.5324
650,79.5,5324800,0.00011883,2.6116,2.6303,0.5210
700,85.7,5734400,0.00009750,2.5853,2.6014,0.5464
750,91.8,6144000,0.00007822,2.5821,2.5805,0.5448
800,97.9,6553600,0.00006158,2.5735,2.5617,0.5558
850,104.0,6963200,0.00004809,2.6245,2.5518,0.5663
900,110.1,7372800,0.00003814,2.4362,2.5394,0.5473
950,116.2,7782400,0.00003205,2.6076,2.5330,0.5455
1000,122.3,8192000,0.00003000,2.5636,2.5255,0.5699
