step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
4950,607.0,40550400,0.00263440,1.8024,1.7809,0.2404
5000,613.2,40960000,0.00262704,1.7787,1.7715,0.2349
5050,619.5,41369600,0.00261962,1.8033,1.7643,0.2297
5100,625.9,41779200,0.00261214,1.7062,1.7658,0.2438
5150,632.2,42188800,0.00260459,1.7712,1.7677,0.2344
5200,638.7,42598400,0.00259699,1.7845,1.7662,0.2292
5250,645.0,43008000,0.00258933,1.7327,1.7676,0.2250
5300,651.4,43417600,0.00258161,1.7440,1.7585,0.2423
5350,657.7,43827200,0.00257383,1.6810,1.7558,0.2550
5400,664.2,44236800,0.00256599,1.6230,1.7595,0.2327
5450,670.6,44646400,0.00255809,1.7374,1.7615,0.2601
5500,677.0,45056000,0.00255014,1.7899,1.7569,0.2454
5550,683.4,45465600,0.00254213,1.7344,1.7518,0.2620
5600,689.9,45875200,0.00253406,1.7428,1.7450,0.2534
5650,696.3,46284800,0.00252594,1.6431,1.7488,0.2426
5700,702.8,46694400,0.00251776,1.6971,1.7476,0.2313
5750,709.2,47104000,0.00250953,1.6901,1.7471,0.2333
5800,715.7,47513600,0.00250125,1.7159,1.7423,0.2492
5850,722.1,47923200,0.00249291,1.8057,1.7395,0.2534
5900,728.5,48332800,0.00248451,1.6615,1.7341,0.2404
5950,734.9,48742400,0.00247607,1.7281,1.7339,0.2548
6000,741.2,49152000,0.00246757,1.7991,1.7318,0.2436
6050,747.7,49561600,0.00245902,1.6577,1.7356,0.2413
6100,754.0,49971200,0.00245043,1.7766,1.7407,0.2532
6150,760.3,50380800,0.00244178,1.6727,1.7319,0.2558
6200,766.8,50790400,0.00243308,1.6703,1.7283,0.2529
6250,773.2,51200000,0.00242433,1.6845,1.7337,0.2331
6300,779.8,51609600,0.00241553,1.6039,1.7280,0.2443
6350,786.3,52019200,0.00240669,1.6861,1.7238,0.2567
6400,792.7,52428800,0.00239779,1.7724,1.7258,0.2474
6450,799.1,52838400,0.00238885,1.7604,1.7229,0.2619
6500,805.5,53248000,0.00237987,1.6851,1.7225,0.2419
6550,811.8,53657600,0.00237083,1.6228,1.7234,0.2398
6600,818.2,54067200,0.00236175,1.7449,1.7191,0.2466
6650,824.6,54476800,0.00235263,1.7091,1.7136,0.2419
6700,831.0,54886400,0.00234346,1.6831,1.7106,0.2379
6750,837.4,55296000,0.00233425,1.6203,1.7118,0.2548
6800,843.7,55705600,0.00232500,1.6974,1.7169,0.2952
